Library,Library URL,License,License URL,Copyright
azure-core-1.31.0.jar,https://github.com/azure/azure-sdk-for-java,MIT license,https://github.com/Azure/azure-sdk-for-java/blob/main/LICENSE.txt,Microsoft
azure-core-http-netty-1.12.4.jar,https://github.com/azure/azure-sdk-for-java,MIT license,https://github.com/Azure/azure-sdk-for-java/blob/main/LICENSE.txt,Microsoft
azure-storage-blob-12.19.0.jar,https://github.com/azure/azure-sdk-for-java,MIT license,https://github.com/Azure/azure-sdk-for-java/blob/main/LICENSE.txt,Microsoft
azure-storage-common-12.18.0.jar,https://github.com/azure/azure-sdk-for-java,MIT license,https://github.com/Azure/azure-sdk-for-java/blob/main/LICENSE.txt,Microsoft
azure-storage-file-datalake-12.12.0.jar,https://github.com/azure/azure-sdk-for-java,MIT license,https://github.com/Azure/azure-sdk-for-java/blob/main/LICENSE.txt,Microsoft
azure-storage-internal-avro-12.4.1.jar,https://github.com/azure/azure-sdk-for-java,MIT license,https://github.com/Azure/azure-sdk-for-java/blob/main/LICENSE.txt,Microsoft
jackson-annotations-2.13.3.jar,https://github.com/FasterXML/jackson-annotations,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,FasterXML
jackson-core-2.13.3.jar,http://github.com/FasterXML/jackson-core,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,FasterXML
jackson-databind-2.13.3.jar,http://github.com/FasterXML/jackson-databind,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,FasterXML
jackson-dataformat-xml-2.13.3.jar,http://github.com/FasterXML/jackson-dataformat-xml,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,FasterXML
jackson-datatype-jsr310-2.13.3.jar,https://github.com/FasterXML/jackson-modules-java8,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,FasterXML
netty-buffer-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-codec-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-codec-dns-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-codec-http2-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-codec-http-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-codec-socks-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-common-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-handler-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-handler-proxy-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-resolver-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-resolver-dns-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-resolver-dns-classes-macos-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-resolver-dns-native-macos-4.1.79.Final-osx-x86_64.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-transport-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
netty-transport-native-unix-common-4.1.79.Final.jar,https://github.com/netty/netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,The Netty Project
reactive-streams-1.0.4.jar,https://github.com/reactive-streams/reactive-streams-jvm,MIT No Attribution,https://github.com/reactive-streams/reactive-streams-jvm/blob/master/LICENSE,Reactive Streams
reactor-core-3.4.21.jar,https://github.com/reactor/reactor-core,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,VMware Inc. or its affiliates
reactor-netty-core-1.0.21.jar,https://github.com/reactor/reactor-netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,VMware Inc. or its affiliates
reactor-netty-http-1.0.21.jar,https://github.com/reactor/reactor-netty,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,VMware Inc. or its affiliates
woodstox-core-6.2.7.jar,https://github.com/FasterXML/woodstox,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,FasterXML
